Blog	four	looking	second	here	music	until	example	want	feature	wrong	easier	series	re	wasn	service	needed	project	came	than	best	men	asked	chrome	much	life	worked	things	had	easy	possible	right	old	people	o	support	call	happy	inside	time	leave	team	love	working	awesome	such	data	years	course	didn	internet	million	quite	city	future	san	say	saw	note	take	ways	going	where	sites	screen	many	wants	photos	technology	being	around	world	power	favorite	image	her	gone	am	original	tv	th	large	small	past	hours	social	action	via	company	learn	sense	huge	its	always	found	really	research	major	sell	self	also	play	sometimes	set	see	currently	available	last	whole	community	read	recent	person	couple	d	anything	into	link	line	posted	us	ago	having	code	results	young	try	video	let	great	makes	tools	next	high	process	move	doing	could	system	face	fact	should	hope	means	stuff	edition	email	co	off	less	web	five	become	software	problem	worth	red	above	told	word	work	interview	after	order	office	then	them	network	created	another	do	away	terms	com	air	voice	hand	photo	thanks	night	comments	post	months	way	war	true	update	together	global	change	usually	market	live	car	write	product	remember	still	half	now	year	space	shows	online	america	only	between	article	comes	these	media	thinking	real	early	business	aren	start	lot	trying	building	since	month	very	family	put	almost	site	history	help	actually	android	event	issue	ask	launch	american	mobile	latest	pretty	during	x	close	won	probably	both	else	look	while	ready	used	user	game	popular	step	within	computer	doesn	happens	youtube	go	does	facebook	download	started	control	links	including	him	front	keep	exactly	need	able	based	she	state	party	well	page	twitter	home	he	friends	using	companies	likely	even	ever	never	tell	give	before	better	weeks	went	side	open	content	isn	features	matter	mind	seen	don	m	stop	bad	decided	said	against	appeared	three	website	make	left	human	yes	yet	down	digital	weekend	daily	finally	did	run	making	may	maybe	talk	nbsp	group	interesting	thing	think	first	long	little	anyone	were	performance	especially	show	behind	get	reading	morning	enough	across	similar	according	among	those	different	same	money	images	e	videos	general	again	important	u	starting	public	search	two	share	needs	coming	through	good	button	everyone	house	hard	idea	done	least	part	built	click	build	most	find	giant	common	please	point	simple	simply	understand	talking	fun	itself	yesterday	spent	big	bit	google	often	back	either	forward	single	giving	others	bunch	ll	age	day	announced	ipad	text	national	taking	value	center	thought	add	works	buy	j	special	under	every	school	street	changes	would	phone	must	me	times	end	over	writing	each	driving	got	free	days	already	top	too	tool	took	though	watch	amazon	report	full	however	news	experience	several	everything	head	hear	check	no	cool	says	goes	iphone	today	continue	local	information	happened	name	turn	place	white	released	any	ideas	sure	later	come	case	myself	someone	html	week	without	model	seems	blog	there	program	far	list	design	version	known	rather	short	might	number	man	expect	friday	feel	story	store	kind	added	nothing	his	hit	art	recently	attention	question	called	users	helping	once	issues	apple	heart	app	use	few	women	getting	something	six	instead	looks	our	york	which	who	why	view	stories	job	april	perhaps	gets	other	smart	know	press	because	lead	create	own	apps	made	whether	book
Techdirt.	7	1	3	19	3	2	4	6	0	2	2	1	17	2	5	3	2	4	26	1	0	1	0	15	1	1	10	36	3	10	5	6	25	2	8	1	0	2	29	2	2	3	2	5	16	2	21	7	1	13	2	3	8	2	5	6	2	2	7	2	6	13	7	0	19	1	1	8	18	9	11	2	0	1	8	2	0	2	9	3	2	2	8	1	4	3	3	5	2	4	6	43	1	11	13	1	3	0	0	21	4	3	8	12	2	5	7	7	3	9	4	6	2	5	4	24	1	3	2	26	14	1	7	6	0	1	5	5	5	9	3	7	5	8	3	9	24	14	3	21	12	1	4	10	0	29	0	10	7	4	7	2	4	7	2	1	2	5	1	12	4	23	8	7	14	19	0	7	15	32	4	1	1	2	1	9	2	0	2	26	10	4	17	2	3	1	3	3	7	1	2	5	3	1	2	3	16	2	17	7	0	2	4	2	19	2	7	4	28	6	1	3	5	6	1	3	5	9	1	11	4	15	0	7	6	1	3	5	17	0	0	5	0	0	4	3	2	4	5	0	4	5	10	3	5	7	22	1	9	1	8	8	3	3	0	8	3	1	22	19	1	3	0	2	2	8	6	2	2	6	7	3	8	7	4	2	20	1	9	7	54	0	8	15	8	32	3	8	1	2	12	5	0	3	5	6	2	6	1	4	3	2	19	4	13	5	2	17	8	2	6	3	15	0	2	1	4	19	0	2	0	6	16	1	5	15	1	7	0	3	8	8	8	15	18	8	6	38	1	2	7	2	17	2	0	3	2	1	1	2	27	7	23	7	0	5	1	8	7	4	3	2	16	3	12	3	1	0	7	14	0	8	10	5	1	10	8	8	5	0	2	27	5	0	6	0	13	1	9	0	2	0	2	3	2	5	4	10	8	11	6	2	5	1	6	2	5	1	6	2	0	4	4	2	0	3	5	2	4	5	1	1	13	10	1	4	10	24	5	1	11	7	4	23	0	3	1	8	9	7	8	5	11	2	4	9	2	2	5	4	7	9	0	4	2	4	3	3	47	0	5	5	0	6	4	9	16	4	9	0	7	10	3	29	1	2	2	4	17	0	11	0	17	13	0	8	3	41	10	5	12	0	3	9	11	1	17	20	1	6	1	0	29	6	10	1	8	23	7	2	6	3	10	5	2	2	6	5	12	3	8	9	12	0	3	17	2	6	0	19	5	34	43	3	7	4	5	0	5	3	24	9	6	5	14	3	3	7	3	17	6	0
Joi Ito's Web	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	2	0	0	1	0	0	2	0	0	1	0	1	0	0	2	1	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	3	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	2	0	1	0	0	0	2	0	0	1	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	3	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	8
Joho the Blog	0	1	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	2	0	0	2	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	2	0	0	1	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	4	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0	1
ongoing by Tim Bray	2	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	3	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0	3	0	1	1	0	0	1	1	0	0	0	0	0	1	1	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	2	0	1	2	0	2	0	1	0	0	0	0	1	0	0	3	1	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	4	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
NewsBusters - Exposing Liberal Media Bias	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	2	0	0
SpikedHumor - Today's Videos and Pictures	0	0	6	102	2	1	0	1	1	0	0	0	2	0	0	0	2	0	1	6	0	0	0	0	2	0	1	5	0	0	0	2	3	4	1	1	1	0	4	0	1	1	0	2	1	0	2	0	0	0	1	1	2	2	0	1	1	0	1	0	0	0	0	0	2	0	2	0	1	4	1	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	7	0	2	1	0	2	0	0	3	3	0	4	4	0	0	4	1	0	0	0	1	1	1	0	2	0	0	5	2	2	1	0	1	0	0	15	2	1	1	0	0	0	0	1	0	1	1	4	1	1	1	1	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	1	2	0	3	1	0	2	3	1	0	3	2	1	0	6	1	4	0	0	0	1	0	3	0	2	0	0	0	1	0	1	0	0	2	4	0	0	0	2	1	0	0	3	0	0	4	0	2	1	0	1	0	0	4	1	0	0	0	0	0	0	1	0	0	2	3	0	1	1	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	1	5	3	0	0	0	1	0	0	0	3	1	0	5	2	2	0	0	1	0	0	0	1	0	2	0	1	1	0	3	0	0	0	1	0	0	7	0	4	0	0	5	3	1	1	0	2	0	0	2	2	0	0	0	0	0	0	0	3	1	0	0	0	3	0	0	0	3	2	2	2	0	0	3	0	0	0	0	2	0	3	1	2	2	0	1	2	0	2	2	2	1	0	0	2	0	5	0	4	0	1	0	1	0	1	0	2	0	0	1	0	0	4	0	1	0	3	0	1	1	0	1	0	1	0	2	0	2	2	0	0	1	0	7	1	0	0	2	0	4	0	2	0	0	0	1	0	0	0	0	0	1	1	1	0	2	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	1	3	0	0	0	2	2	2	5	1	3	0	0	0	3	1	1	5	0	2	2	3	0	0	102	0	1	2	0	2	0	1	1	2	1	0	1	5	1	0	1	0	0	1	0	0	0	0	0	1	0	2	2	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	2	0	4	0	0	3	0	1	0	0	0	9	0	0	0	0	0	1	0	0	2	0	5	1	3	0	1	1	0	2	0	0	1	1	0	0	3	4	1	1	0	0	0	2	2	0	4	0	3	0	0	0	1	0	0	0
The Official Google Blog	5	13	3	5	3	0	2	7	1	0	6	3	47	3	0	1	8	2	36	7	1	2	8	5	3	2	5	2	2	4	4	4	36	3	7	2	2	3	35	4	11	3	6	4	3	30	14	5	0	2	10	1	15	2	2	5	3	3	9	5	5	12	0	1	11	1	11	13	4	15	30	5	7	1	7	2	1	2	3	8	1	4	9	2	0	2	0	0	17	1	0	10	4	1	1	3	1	0	9	16	3	0	2	17	0	7	11	0	12	1	3	3	3	6	0	6	0	0	25	9	3	4	1	0	5	4	6	3	5	4	3	7	8	3	1	4	8	1	1	5	2	5	4	1	0	0	3	6	3	6	4	0	4	4	1	6	0	0	10	18	0	16	1	2	9	16	5	5	9	15	1	4	0	5	4	2	8	4	1	2	2	3	5	0	0	1	4	0	4	0	1	3	9	0	5	2	5	1	25	15	3	1	5	2	4	3	0	0	15	1	2	5	4	0	0	5	4	1	3	13	3	2	2	1	2	3	5	24	2	5	2	0	3	0	5	4	2	1	2	0	1	7	0	8	1	9	8	1	1	1	6	0	3	0	7	4	1	3	12	1	1	2	7	0	0	5	6	1	3	1	12	4	6	8	5	1	15	5	0	9	8	1	14	1	1	20	6	2	0	6	2	10	0	2	1	1	2	0	0	1	2	0	7	3	2	0	0	1	3	0	5	0	20	2	6	0	4	5	3	2	2	4	3	5	11	13	1	2	13	5	0	3	3	20	2	2	3	26	4	3	3	4	22	0	1	2	7	1	3	1	6	8	4	2	2	0	6	0	2	4	8	10	6	25	10	6	1	2	16	4	1	3	4	2	4	2	3	5	4	2	3	8	9	0	2	1	4	3	1	7	0	3	1	2	1	3	2	73	3	13	0	4	2	3	8	1	20	2	24	4	0	0	5	4	0	12	1	1	5	1	2	1	1	10	6	10	2	7	3	0	2	2	4	12	0	11	15	6	6	5	8	16	3	2	2	3	2	2	0	6	0	7	2	1	2	1	2	3	16	0	1	1	0	24	1	4	13	1	2	4	13	4	2	4	9	1	2	4	0	0	1	1	39	6	2	2	6	13	8	2	4	3	5	4	2	0	3	4	0	3	3	1	7	2	1	4	0	10	4	2	3	3	2	1	0	2	2	2	0	2	8	14	10	1	3	5	5	1	1	54	4	15	22	6	16	7	5	4	0	2	19	3	6	1	3	3	12	9	10	10	4	1
kottke.org	0	0	2	5	11	4	2	4	3	0	0	4	8	1	2	0	1	2	7	9	0	0	0	7	11	2	9	7	1	1	6	4	12	0	0	0	1	1	7	0	1	3	3	1	2	1	7	6	5	5	3	3	2	1	0	3	2	0	5	0	8	3	0	3	3	0	1	2	10	5	11	0	1	2	11	1	1	1	0	6	2	3	1	2	1	0	13	2	0	2	3	8	3	4	6	2	0	1	4	2	5	0	1	4	2	6	1	4	0	6	3	3	1	4	1	8	1	1	0	3	1	6	0	1	2	0	17	2	5	6	1	4	8	1	0	1	7	0	1	0	2	0	1	4	3	0	0	2	2	5	4	1	1	3	2	3	2	3	0	6	1	3	4	3	9	12	0	0	2	7	6	1	1	0	2	2	2	1	0	0	2	0	4	4	1	2	2	4	1	1	0	7	0	0	0	2	5	1	13	3	9	8	2	1	5	3	1	1	11	5	0	4	3	5	2	2	2	1	3	4	0	5	1	1	1	0	3	1	5	0	0	0	2	0	4	2	2	2	1	0	5	0	2	3	3	4	6	0	2	0	5	2	1	2	2	3	2	0	6	1	0	1	4	4	0	3	3	1	3	1	2	4	1	11	1	1	7	1	0	2	16	2	3	2	5	9	6	2	1	3	6	6	2	2	6	3	2	6	0	1	0	3	4	7	2	1	0	6	0	0	2	0	9	1	1	0	3	3	3	0	0	1	3	2	4	5	2	1	206	0	1	5	5	6	3	5	0	8	0	1	1	1	9	3	3	6	6	2	0	0	2	3	4	2	7	2	0	0	4	3	2	1	3	0	8	1	0	4	7	4	0	3	0	2	4	1	3	6	1	0	1	2	3	3	2	1	4	0	3	2	4	1	3	0	1	2	1	5	4	6	0	0	1	0	1	0	3	3	8	0	1	1	0	1	0	2	1	0	1	3	2	0	2	2	3	3	0	11	1	0	8	4	2	6	0	3	0	7	5	2	2	1	9	0	3	1	4	14	0	4	0	4	0	3	3	1	0	0	15	3	3	1	0	6	0	1	0	1	7	1	0	1	3	2	1	0	2	4	2	0	4	0	1	1	1	0	0	17	0	5	3	4	1	3	1	0	8	3	1	2	1	3	2	2	3	0	1	13	2	10	3	2	2	5	0	0	3	0	0	0	2	5	2	0	4	5	3	2	1	8	5	13	15	5	0	1	2	0	2	0	7	1	7	0	4	1	1	2	1	7	1	12
456 Berea Street	0	0	0	2	0	0	0	4	0	0	0	0	1	0	0	0	0	0	6	1	0	0	0	1	0	0	1	2	2	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	5	2	1	1	1	0	2	0	0	0	0	0	0	1	1	1	1	0	7	4	0	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	8	3	1	3	0	0	0	0	1	0	4	3	4	1	0	1	0	0	10	1	0	2	4	0	1	1	0	0	1	2	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	2	6	0	0	0	6	1	0	1	0	0	2	0	3	1	0	1	3	0	1	1	6	0	0	0	0	0	0	0	0	0	3	3	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	1	1	0	4	0	1	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	6	2	0	4	0	0	0	0	0	0	1	2	0	1	0	0	0	2	0	1	1	0	0	0	0	5	0	0	0	0	0	4	0	0	0	1	0	8	0	1	4	2	1	0	1	2	0	0	0	0	0	3	4	1	1	0	1	1	0	1	0	0	0	1	0	1	0	5	0	0	0	0	4	0	0	0	0	0	0	3	5	1	1	0	0	0	0	3	0	1	0	1	3	0	0	1	1	1	0	0	1	0	0	1	0	1	7	2	0	3	0	0	0	0	1	0	0	0	0	2	1	2	0	1	2	10	0	0	0	0	1	3	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	1	3	0	0	0	0	1	0	0	0	0	0	10	0	0	2	0	4	2	0	0	0	0	0	3	0	0	0	0	0	0	2	1	0	3	0	2	0	0	0	1	1	2	3	0	0	1	0	0	2	12	3	1	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	2	0	1	1	0	0	4	0	0	0	0	0	7	0	0	1	4	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	1	0	1	0	1	2	0	0	0	3	1	0	0	0	1	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0
Signal vs. Noise	0	2	1	4	0	2	2	5	9	0	6	1	21	1	0	0	1	0	7	7	0	0	2	12	1	3	7	12	2	0	2	14	7	0	0	1	0	1	11	0	4	3	1	0	1	3	5	0	5	0	0	0	0	1	0	0	0	0	9	0	14	12	1	2	5	0	0	2	1	5	4	1	2	0	0	2	0	1	0	0	0	1	0	1	0	0	1	3	0	1	1	1	1	1	5	0	0	0	0	3	1	0	1	1	0	0	5	0	0	1	0	0	1	5	4	3	0	3	0	5	1	2	0	0	0	1	4	4	10	7	5	4	1	0	1	0	5	3	0	1	3	0	3	5	0	1	0	3	4	12	1	2	3	0	6	0	0	0	0	8	0	3	0	1	9	3	0	0	3	14	2	0	3	0	0	0	3	1	0	0	0	3	7	0	4	0	0	0	1	2	4	0	0	0	0	1	3	2	4	2	0	0	1	0	3	2	2	2	7	0	1	1	2	13	0	2	5	3	3	2	1	2	0	1	2	9	0	0	4	9	1	0	1	2	0	16	1	1	0	0	0	1	2	0	3	4	3	0	2	0	1	0	1	1	1	2	1	0	7	1	1	0	2	0	1	1	0	0	2	1	5	4	6	0	2	0	10	4	2	0	1	0	3	1	1	13	0	0	1	2	2	4	4	2	5	1	2	2	3	2	2	0	5	18	0	0	0	1	0	0	0	3	14	2	0	0	2	3	0	0	0	0	4	4	6	2	2	0	0	0	4	3	7	7	3	6	1	6	4	0	1	1	9	0	0	6	0	0	0	0	8	3	2	1	0	1	0	1	4	0	0	0	0	0	0	2	0	3	5	6	0	2	0	7	2	3	5	2	2	0	2	4	5	0	2	0	3	7	4	0	0	1	1	0	2	2	2	0	2	3	3	1	2	1	0	0	9	1	2	0	0	2	0	1	1	0	0	3	1	0	0	1	0	9	0	0	1	3	0	0	1	3	2	7	1	0	1	1	2	1	3	0	2	0	0	2	0	0	0	2	0	0	3	2	4	1	1	0	3	0	0	0	11	5	0	0	2	2	0	4	1	0	0	1	0	3	0	1	3	0	2	20	0	2	4	2	1	9	0	3	0	4	8	1	2	0	7	0	0	0	0	3	3	1	1	0	1	0	0	2	2	0	1	1	4	1	2	0	1	0	23	3	4	0	1	5	1	1	0	19	0	7	4	4	1	2	1	0	2	0	2	0	3	0	11	0	0	0	4	4	3	0
Joel on Software	2	0	1	4	0	3	4	18	14	0	2	1	22	1	0	2	4	2	16	0	0	1	0	7	1	0	20	6	4	3	4	2	27	0	1	4	3	2	16	1	7	1	3	2	1	1	5	1	5	2	4	3	1	1	1	3	0	0	3	1	7	8	0	0	7	0	0	1	5	7	4	1	0	3	0	2	2	1	0	2	3	3	0	3	2	1	0	1	1	1	2	1	2	5	14	1	3	3	0	5	0	4	1	8	1	3	1	2	1	5	0	1	1	2	2	8	0	4	2	8	0	1	17	0	0	2	0	4	27	8	5	5	0	13	3	3	7	11	1	5	10	1	2	5	0	2	0	5	2	3	2	0	40	1	3	0	0	0	2	12	0	2	1	3	7	15	3	0	0	19	1	2	0	0	0	0	0	0	0	0	2	7	12	2	0	1	3	0	2	2	1	1	3	2	11	0	3	0	7	5	0	0	1	1	3	3	0	1	7	0	2	2	0	8	1	7	13	6	0	4	3	8	0	2	2	1	0	5	10	0	1	0	14	0	0	0	0	3	1	1	1	1	2	6	4	6	8	1	6	3	0	2	5	0	0	9	1	0	9	3	0	0	1	8	0	0	1	0	3	2	10	2	1	0	0	0	3	1	0	1	2	1	15	7	3	13	2	9	2	2	5	6	1	2	3	9	0	1	13	1	0	2	15	2	4	5	3	1	0	0	6	0	15	1	0	2	1	5	0	0	0	1	2	1	3	7	3	1	7	0	2	7	7	11	5	7	2	7	0	1	0	0	24	1	0	1	0	2	0	0	7	8	3	13	0	0	0	0	0	1	0	4	3	6	10	0	2	1	3	3	1	4	0	5	4	2	0	2	2	2	4	11	10	0	2	0	5	2	1	3	1	0	2	0	3	7	7	3	2	3	4	0	3	1	1	3	6	0	10	0	0	0	0	0	6	0	5	7	3	3	0	0	1	18	1	1	2	5	1	1	6	1	2	6	4	2	0	6	10	3	5	0	8	1	1	2	1	1	1	2	0	1	1	2	9	0	2	1	4	1	0	0	4	7	2	0	0	0	0	0	0	1	0	14	6	6	1	4	2	1	1	0	1	5	2	0	2	18	1	0	5	2	10	0	1	3	13	4	0	1	0	4	2	1	8	3	0	1	1	16	1	0	2	8	5	0	1	0	1	1	3	10	6	0	6	6	3	0	1	5	0	20	8	6	2	0	15	1	1	1	8	0	5	0	12	0	0	2	0	3	1	1
